order_id,timestamp,event_type,side,price,size,trader_id,is_spoof
100001,0.000215,ADD,SELL,100.01,300,9,False
100002,0.000819,ADD,BUY,100.0,100,1,False
100003,0.001213,ADD,BUY,99.96,100,2,False
100002,0.002105,EXECUTE,BUY,100.0,100,1,False
100004,0.002551,ADD,BUY,99.98,200,3,False
100005,0.003278,ADD,BUY,100.0,5000,11,True
100005,0.00426,CANCEL,BUY,100.0,5000,11,True
100006,0.004581,ADD,SELL,100.01,200,7,False
100007,0.004754,ADD,SELL,99.96,200,8,False
100008,0.005,ADD,SELL,99.98,500,6,False
100007,0.005986,EXECUTE,SELL,99.96,200,8,False
100009,0.006502,ADD,BUY,99.99,200,7,False
100010,0.007156,ADD,SELL,100.02,200,1,False
100010,0.008087,EXECUTE,SELL,100.02,200,1,False
100011,0.008502,ADD,SELL,99.97,500,10,False
100012,0.009437,ADD,SELL,99.99,200,5,False
100013,0.009735,ADD,SELL,100.03,300,5,False
100008,0.010311,CANCEL,SELL,99.98,500,6,False
100014,0.010814,ADD,SELL,99.99,10000,11,True
100012,0.011526,CANCEL,SELL,99.99,200,5,False
100015,0.012095,ADD,SELL,100.03,200,3,False
100015,0.012362,CANCEL,SELL,100.03,200,3,False
100016,0.013034,ADD,SELL,99.99,100,5,False
100011,0.013135,CANCEL,SELL,99.97,500,10,False
100017,0.013564,ADD,BUY,99.96,100,3,False
100018,0.014232,ADD,BUY,99.99,200,6,False
100019,0.015116,ADD,BUY,99.99,100,5,False
100020,0.015987,ADD,SELL,100.03,300,9,False
100021,0.016967,ADD,BUY,100.0,100,4,False
100022,0.017882,ADD,SELL,99.97,100,10,False
100023,0.018816,ADD,SELL,99.99,100,10,False
100024,0.019144,ADD,BUY,99.97,200,4,False
100025,0.019506,ADD,SELL,99.98,300,9,False
100026,0.020381,ADD,BUY,100.0,20000,11,True
100027,0.020736,ADD,SELL,100.04,200,8,False
100028,0.021705,ADD,BUY,100.02,100,2,False
100029,0.021996,ADD,BUY,100.0,100,3,False
100030,0.022875,ADD,BUY,99.97,300,4,False
100017,0.023557,EXECUTE,BUY,99.96,100,3,False
100031,0.024128,ADD,SELL,100.0,15000,11,True
